date,open,high,low,close,volume,volume(KAS)
03/22/2023,0.017124,0.017587,0.015629,0.01577,5.2 m,
03/23/2023,0.015796,0.016537,0.015547,0.015973,7.2 m,
03/24/2023,0.016008,0.016924,0.015898,0.016917,8.5 m,
03/25/2023,0.016927,0.017136,0.016621,0.01669,7.2 m,
03/26/2023,0.01669,0.017008,0.016211,0.016721,2.4 m,
03/27/2023,0.016713,0.018554,0.016526,0.018193,2.6 m,
03/28/2023,0.018193,0.022594,0.018193,0.022437,5.8 m,
03/29/2023,0.022451,0.023602,0.02116,0.023029,20.6 m,
03/30/2023,0.023016,0.036985,0.022946,0.028058,35.9 m,
03/31/2023,0.027581,0.032891,0.027235,0.0291,52.3 m,
04/01/2023,0.028962,0.033515,0.028962,0.032769,24.5 m,
04/02/2023,0.032463,0.038348,0.032197,0.035655,24.5 m,
04/03/2023,0.035736,0.042511,0.035554,0.038562,22.7 m,
04/04/2023,0.03879,0.040956,0.03546,0.036843,22.6 m,
04/05/2023,0.036508,0.037706,0.031696,0.034951,24.1 m,
04/06/2023,0.035049,0.036295,0.027923,0.030415,23.1 m,
04/07/2023,0.0302,0.0325,0.029635,0.031544,21.1 m,
04/08/2023,0.031467,0.031676,0.028711,0.030228,11.5 m,
04/09/2023,0.03009,0.030906,0.028991,0.029284,8.9 m,
04/10/2023,0.02926,0.036369,0.029111,0.034487,14.1 m,
04/11/2023,0.034478,0.036708,0.032983,0.034719,27.1 m,
04/12/2023,0.034561,0.038329,0.032487,0.032657,15.2 m,
04/13/2023,0.032657,0.033698,0.03194,0.032522,9.2 m,
04/14/2023,0.032522,0.034362,0.032004,0.032809,10.9 m,
04/15/2023,0.032809,0.035943,0.032785,0.035681,10.9 m,
04/16/2023,0.035681,0.035859,0.033248,0.033423,9.1 m,
04/17/2023,0.033438,0.033771,0.027074,0.027074,9.1 m,
04/18/2023,0.025305,0.029732,0.025239,0.027789,24.4 m,
04/19/2023,0.027804,0.028763,0.024393,0.02528,9.7 m,
04/20/2023,0.025287,0.025708,0.022364,0.023239,12 m,
