date,open,high,low,close,volume
12/04/2011,2.794000,2.794000,2.794000,2.794000,0
12/05/2011,2.828100,2.828100,2.828100,2.828100,0
12/06/2011,2.879800,2.879800,2.879800,2.879800,0
12/07/2011,3.030000,3.030000,3.030000,3.030000,0
12/08/2011,2.990000,2.990000,2.990000,2.990000,0
12/09/2011,2.980000,2.980000,2.980000,2.980000,0
12/10/2011,2.970000,2.970000,2.970000,2.970000,0
12/11/2011,3.050000,3.050000,3.050000,3.050000,0
12/12/2011,3.251100,3.251100,3.251100,3.251100,0
12/13/2011,3.135000,3.135000,3.135000,3.135000,0
12/14/2011,3.249900,3.249900,3.249900,3.249900,0
12/15/2011,3.150000,3.150000,3.150000,3.150000,0
12/16/2011,3.200000,3.200000,3.200000,3.200000,0
12/17/2011,3.200000,3.200000,3.200000,3.200000,0
12/18/2011,3.200100,3.200100,3.200100,3.200100,0
12/19/2011,3.193000,3.193000,3.193000,3.193000,0
12/20/2011,3.520200,3.520200,3.520200,3.520200,0
12/21/2011,3.950000,3.950000,3.950000,3.950000,0
12/22/2011,3.890000,3.890000,3.890000,3.890000,0
12/23/2011,3.890100,3.890100,3.890100,3.890100,0
12/24/2011,3.946800,3.946800,3.946800,3.946800,0
12/25/2011,3.940000,3.940000,3.940000,3.940000,0
12/26/2011,4.225000,4.225000,4.225000,4.225000,0
12/27/2011,4.018000,4.018000,4.018000,4.018000,0
12/28/2011,4.070000,4.070000,4.070000,4.070000,0
12/29/2011,4.185500,4.185500,4.185500,4.185500,0
12/30/2011,4.166000,4.166000,4.166000,4.166000,0
12/31/2011,4.248000,4.248000,4.248000,4.248000,0
01/01/2012,4.722000,4.722000,4.722000,4.722000,0
01/02/2012,5.267700,5.267700,5.267700,5.267700,0
01/03/2012,5.216800,5.216800,5.216800,5.216800,0
01/04/2012,4.880800,4.880800,4.880800,4.880800,0
01/05/2012,5.573800,5.573800,5.573800,5.573800,0
01/06/2012,6.947600,6.947600,6.947600,6.947600,0
01/07/2012,6.696900,6.696900,6.696900,6.696900,0
01/08/2012,6.810000,6.810000,6.810000,6.810000,0
01/09/2012,7.113600,7.113600,7.113600,7.113600,0
01/10/2012,6.325700,6.325700,6.325700,6.325700,0
01/11/2012,6.360000,6.360000,6.360000,6.360000,0
01/12/2012,6.900000,6.900000,6.900000,6.900000,0
01/13/2012,6.800000,6.800000,6.800000,6.800000,0
01/14/2012,6.410000,6.410000,6.410000,6.410000,0
01/15/2012,6.750000,6.750000,6.750000,6.750000,0
01/16/2012,7.001800,7.001800,7.001800,7.001800,0
01/17/2012,6.682500,6.682500,6.682500,6.682500,0
01/18/2012,5.600000,5.600000,5.600000,5.600000,0
01/19/2012,5.920000,5.920000,5.920000,5.920000,0
01/20/2012,6.359800,6.359800,6.359800,6.359800,0
01/21/2012,6.489800,6.489800,6.489800,6.489800,0
01/22/2012,6.180000,6.180000,6.180000,6.180000,0
01/23/2012,6.309700,6.309700,6.309700,6.309700,0
01/24/2012,6.356000,6.356000,6.356000,6.356000,0
01/25/2012,6.289800,6.289800,6.289800,6.289800,0
01/26/2012,5.750000,5.750000,5.750000,5.750000,0
01/27/2012,5.340000,5.340000,5.340000,5.340000,0
01/28/2012,5.292000,5.292000,5.292000,5.292000,0
01/29/2012,5.626700,5.626700,5.626700,5.626700,0
01/30/2012,5.380900,5.380900,5.380900,5.380900,0
01/31/2012,5.490500,5.490500,5.490500,5.490500,0
02/01/2012,5.483800,5.483800,5.483800,5.483800,0
02/02/2012,6.075600,6.075600,6.075600,6.075600,0
02/03/2012,6.100000,6.100000,6.100000,6.100000,0
02/04/2012,5.959300,5.959300,5.959300,5.959300,0
02/05/2012,5.873400,5.873400,5.873400,5.873400,0
02/06/2012,5.688800,5.688800,5.688800,5.688800,0
02/07/2012,5.453500,5.453500,5.453500,5.453500,0
02/08/2012,5.690000,5.690000,5.690000,5.690000,0
02/09/2012,5.600000,5.600000,5.600000,5.600000,0
02/10/2012,5.830000,5.830000,5.830000,5.830000,0
02/11/2012,5.912600,5.912600,5.912600,5.912600,0
02/12/2012,5.600500,5.600500,5.600500,5.600500,0
02/13/2012,5.514700,5.514700,5.514700,5.514700,0
02/14/2012,5.260000,5.260000,5.260000,5.260000,0
02/15/2012,4.462900,4.462900,4.462900,4.462900,0
02/16/2012,4.325100,4.325100,4.325100,4.325100,0
02/17/2012,4.273900,4.273900,4.273900,4.273900,0
02/18/2012,4.410000,4.410000,4.410000,4.410000,0
02/19/2012,4.222000,4.222000,4.222000,4.222000,0
02/20/2012,4.386700,4.386700,4.386700,4.386700,0
02/21/2012,4.361500,4.361500,4.361500,4.361500,0
02/22/2012,4.272000,4.272000,4.272000,4.272000,0
02/23/2012,4.424700,4.424700,4.424700,4.424700,0
02/24/2012,5.015000,5.015000,5.015000,5.015000,0
02/25/2012,5.028800,5.028800,5.028800,5.028800,0
02/26/2012,4.773000,4.773000,4.773000,4.773000,0
02/27/2012,4.922000,4.922000,4.922000,4.922000,0
02/28/2012,4.956000,4.956000,4.956000,4.956000,0
02/29/2012,4.868000,4.868000,4.868000,4.868000,0
03/01/2012,4.860000,4.860000,4.860000,4.860000,0
03/02/2012,4.921300,4.921300,4.921300,4.921300,0
03/03/2012,4.705000,4.705000,4.705000,4.705000,0
03/04/2012,4.614400,4.614400,4.614400,4.614400,0
03/05/2012,4.820000,4.820000,4.820000,4.820000,0
03/06/2012,4.984300,4.984300,4.984300,4.984300,0
03/07/2012,4.990100,4.990100,4.990100,4.990100,0
03/08/2012,4.937500,4.937500,4.937500,4.937500,0
03/09/2012,4.930200,4.930200,4.930200,4.930200,0
03/10/2012,4.861100,4.861100,4.861100,4.861100,0
03/11/2012,4.833200,4.833200,4.833200,4.833200,0
03/12/2012,4.910000,4.910000,4.910000,4.910000,0
03/13/2012,4.890100,4.890100,4.890100,4.890100,0
03/14/2012,5.270000,5.270000,5.270000,5.270000,0
03/15/2012,5.380000,5.380000,5.380000,5.380000,0
03/16/2012,5.326600,5.326600,5.326600,5.326600,0
03/17/2012,5.343900,5.343900,5.343900,5.343900,0
03/18/2012,5.215900,5.215900,5.215900,5.215900,0
03/19/2012,5.279400,5.279400,5.279400,5.279400,0
03/20/2012,4.693900,4.693900,4.693900,4.693900,0
